"Bloomberg","Yahoo","Industry","Name"
"ABI BB Equity","ABI.BR","Consumer, Non-cyclical","Anheuser-Busch InBev SA/NV"
"CHR DC Equity","CHR.CO","Consumer, Non-cyclical","Chr Hansen Holding A/S"
"NOVOB DC Equity","NOVO-B.CO","Consumer, Non-cyclical","Novo Nordisk A/S"
"TRYG DC Equity","TRYG.CO","Financial","Tryg A/S"
"ROCKB DC Equity","ROCK-B.CO",NA,"ROCKWOOL International A/S"
"GMAB DC Equity","GMAB.CO",NA,"Genmab A/S"
"SIM DC Equity","SIM.CO","Technology","SimCorp A/S"
"DEMANT DC Equity","DEMANT.CO",NA,"Demant A/S"
"DANSKE DC Equity","DANSKE.CO","Financial","Danske Bank A/S"
"PNDORA DC Equity","PNDORA.CO","Consumer, Cyclical","Pandora A/S"
"VWS DC Equity","VWS.CO","Energy","Vestas Wind Systems A/S"
"COLOB DC Equity","COLO-B.CO","Consumer, Non-cyclical","Coloplast A/S"
"CARLB DC Equity","CARL-B.CO",NA,"Carlsberg AS"
"RBREW DC Equity","RBREW.CO","Consumer, Non-cyclical","Royal Unibrew A/S"
"ORSTED DC Equity","ORSTED.CO","Utilities","Orsted A/S"
"GN DC Equity","GN.CO","Consumer, Non-cyclical","GN Store Nord A/S"
"DSV DC Equity","DSV.CO",NA,"DSV PANALPINA A/S"
"FLS DC Equity","FLS.CO","Industrial","FLSmidth & Co A/S"
"ISS DC Equity","ISS.CO","Consumer, Non-cyclical","ISS A/S"
"MAERSKB DC Equity","MAERSK-B.CO","Industrial","AP Moller - Maersk A/S"
"NZYMB DC Equity","NZYM-B.CO","Basic Materials","Novozymes A/S"
"MAERSKA DC Equity","MAERSK-A.CO","Industrial","AP Moller - Maersk A/S"
"JYSK DC Equity","JYSK.CO","Financial","Jyske Bank A/S"
"AMBUB DC Equity","AMBU-B.CO","Consumer, Non-cyclical","Ambu A/S"
"BAVA DC Equity","BAVA.CO",NA,"Bavarian Nordic A/S"
"LUN DC Equity","LUN.CO","Consumer, Non-cyclical","H Lundbeck A/S"
"TYRES FH Equity","TYRES.HE",NA,"Nokian Renkaat Oyj"
"VALMT FH Equity","VALMT.HE",NA,"Valmet Oyj"
"FORTUM FH Equity","FORTUM.HE",NA,"Fortum Oyj"
"ELISA FH Equity","ELISA.HE",NA,"Elisa Oyj"
"NOKIA FH Equity","NOKIA.HE",NA,"Nokia Oyj"
"CGCBV FH Equity","CGCBV.HE","Industrial","Cargotec Oyj"
"KNEBV FH Equity","KNEBV.HE",NA,"Kone Oyj"
"KCR FH Equity","KCR.HE",NA,"Konecranes Oyj"
"HUH1V FH Equity","HUH1V.HE",NA,"Huhtamaki Oyj"
"MOCORP FH Equity","MOCORP.HE",NA,"Metso Outotec Oyj"
"METSB FH Equity","METSB.HE",NA,"Metsa Board Oyj"
"KESKOB FH Equity","KESKOB.HE",NA,"Kesko Oyj"
"KOJAMO FH Equity","KOJAMO.HE",NA,"Kojamo Oyj"
"KEMIRA FH Equity","KEMIRA.HE",NA,"Kemira Oyj"
"TELIA1 FH Equity","TELIA1.HE","Communications","Telia Co AB"
"OUT1V FH Equity","OUT1V.HE",NA,"Outokumpu Oyj"
"UPM FH Equity","UPM.HE",NA,"UPM-Kymmene Oyj"
"TIETO FH Equity","TIETO.HE",NA,"TietoEVRY Oyj"
"STERV FH Equity","STERV.HE",NA,"Stora Enso Oyj"
"WRT1V FH Equity","WRT1V.HE","Industrial","Wartsila OYJ Abp"
"NELES FH Equity","NELES.HE",NA,"Neles Oyj"
"ORNBV FH Equity","ORNBV.HE","Consumer, Non-cyclical","Orion Oyj"
"NESTE FH Equity","NESTE.HE","Energy","Neste Oyj"
"SAMPO FH Equity","SAMPO.HE","Financial","Sampo Oyj"
"VIE FP Equity","VIE.PA","Utilities","Veolia Environnement SA"
"HO FP Equity","HO.PA",NA,"Thales SA"
"ML FP Equity","ML.PA","Consumer, Cyclical","Michelin"
"RI FP Equity","RI.PA","Consumer, Non-cyclical","Pernod Ricard SA"
"ATO FP Equity","ATO.PA","Technology","Atos SE"
"SAN FP Equity","SAN.PA","Consumer, Non-cyclical","Sanofi"
"BNP FP Equity","BNP.PA","Financial","BNP Paribas SA"
"ENGI FP Equity","ENGI.PA","Utilities","Engie SA"
"WLN FP Equity","WLN.PA",NA,"Worldline SA/France"
"AC FP Equity","AC.PA","Consumer, Cyclical","Accor SA"
"EL FP Equity","EL.PA","Consumer, Non-cyclical","EssilorLuxottica SA"
"UG FP Equity","UG.PA","Consumer, Cyclical","Peugeot SA"
"DG FP Equity","DG.PA","Industrial","Vinci SA"
"MC FP Equity","MC.PA","Consumer, Cyclical","LVMH Moet Hennessy Louis Vuitton SE"
"AIR FP Equity","AIR.PA","Industrial","Airbus SE"
"EN FP Equity","EN.PA","Industrial","Bouygues SA"
"VIV FP Equity","VIV.PA","Communications","Vivendi SA"
"LR FP Equity","LR.PA","Industrial","Legrand SA"
"SGO FP Equity","SGO.PA","Industrial","Cie de Saint-Gobain"
"KER FP Equity","KER.PA","Consumer, Cyclical","Kering SA"
"OR FP Equity","OR.PA","Consumer, Non-cyclical","L'Oreal SA"
"RNO FP Equity","RNO.PA","Consumer, Cyclical","Renault SA"
"SAF FP Equity","SAF.PA","Industrial","Safran SA"
"ACA FP Equity","ACA.PA","Financial","Credit Agricole SA"
"ORA FP Equity","ORA.PA","Communications","Orange SA"
"SU FP Equity","SU.PA","Industrial","Schneider Electric SE"
"PUB FP Equity","PUB.PA","Communications","Publicis Groupe SA"
"CAP FP Equity","CAP.PA","Technology","Capgemini SE"
"RMS FP Equity","RMS.PA","Consumer, Cyclical","Hermes International"
"TEP FP Equity","TEP.PA",NA,"Teleperformance"
"BN FP Equity","BN.PA","Consumer, Non-cyclical","Danone SA"
"DSY FP Equity","DSY.PA","Technology","Dassault Systemes SE"
"FP FP Equity","FP.PA","Energy","TOTAL SA"
"STM FP Equity","STM.PA","Technology","STMicroelectronics NV"
"AI FP Equity","AI.PA","Basic Materials","Air Liquide SA"
"CS FP Equity","CS.PA","Financial","AXA SA"
"GLE FP Equity","GLE.PA","Financial","Societe Generale SA"
"CA FP Equity","CA.PA","Consumer, Non-cyclical","Carrefour SA"
"1COV GY Equity","1COV.DE","Basic Materials","Covestro AG"
"RWE GY Equity","RWE.DE","Utilities","RWE AG"
"BMW GY Equity","BMW.DE","Consumer, Cyclical","Bayerische Motoren Werke AG"
"BAS GY Equity","BAS.DE","Basic Materials","BASF SE"
"DBK GY Equity","DBK.DE","Financial","Deutsche Bank AG"
"WDI GY Equity","WDI.DE","Consumer, Non-cyclical","Wirecard AG"
"FME GY Equity","FME.DE","Consumer, Non-cyclical","Fresenius Medical Care AG & Co KGaA"
"BAYN GY Equity","BAYN.DE","Consumer, Non-cyclical","Bayer AG"
"ALV GY Equity","ALV.DE","Financial","Allianz SE"
"MTX GY Equity","MTX.DE",NA,"MTU Aero Engines AG"
"MRK GY Equity","MRK.DE","Consumer, Non-cyclical","Merck KGaA"
"SIE GY Equity","SIE.DE","Industrial","Siemens AG"
"SAP GY Equity","SAP.DE","Technology","SAP SE"
"HEN3 GY Equity","HEN3.DE","Consumer, Non-cyclical","Henkel AG & Co KGaA"
"FRE GY Equity","FRE.DE","Consumer, Non-cyclical","Fresenius SE & Co KGaA"
"ADS GY Equity","ADS.DE","Consumer, Cyclical","adidas AG"
"DB1 GY Equity","DB1.DE","Financial","Deutsche Boerse AG"
"DAI GY Equity","DAI.DE","Consumer, Cyclical","Daimler AG"
"IFX GY Equity","IFX.DE","Technology","Infineon Technologies AG"
"BEI GY Equity","BEI.DE","Consumer, Non-cyclical","Beiersdorf AG"
"LIN GY Equity","LIN.DE","Basic Materials","Linde PLC"
"MUV2 GY Equity","MUV2.DE","Financial","Munich Re"
"DWNI GY Equity","DWNI.DE",NA,"Deutsche Wohnen SE"
"EOAN GY Equity","EOAN.DE","Utilities","E.ON SE"
"DTE GY Equity","DTE.DE","Communications","Deutsche Telekom AG"
"DPW GY Equity","DPW.DE","Industrial","Deutsche Post AG"
"VNA GY Equity","VNA.DE","Financial","Vonovia SE"
"HEI GY Equity","HEI.DE","Industrial","HeidelbergCement AG"
"VOW3 GY Equity","VOW3.DE","Consumer, Cyclical","Volkswagen AG"
"CON GY Equity","CON.DE","Consumer, Cyclical","Continental AG"
"CRH ID Equity","CRG.IR","Industrial","CRH PLC"
"ISP IM Equity","ISP.MI","Financial","Intesa Sanpaolo SpA"
"ENI IM Equity","ENI.MI","Energy","Eni SpA"
"ENEL IM Equity","ENEL.MI","Utilities","Enel SpA"
"EZJ LN Equity","EZJ.L","Consumer, Cyclical","easyJet PLC"
"EVR LN Equity","EVR.L","Basic Materials","Evraz PLC"
"WPP LN Equity","WPP.L","Communications","WPP PLC"
"AAF LN Equity","AAF.L",NA,"Airtel Africa PLC"
"BBY LN Equity","BBY.L",NA,"Balfour Beatty PLC"
"FERG LN Equity","FERG.L","Consumer, Cyclical","Ferguson PLC"
"HOC LN Equity","HOC.L",NA,"Hochschild Mining PLC"
"FCIT LN Equity","FCIT.L",NA,"F&C Investment Trust PLC"
"BDEV LN Equity","BDEV.L","Consumer, Cyclical","Barratt Developments PLC"
"FGT LN Equity","FGT.L",NA,"Finsbury Growth & Income Trust PLC/Fund"
"BGEO LN Equity","BGEO.L",NA,"Bank of Georgia Group PLC"
"CRDA LN Equity","CRDA.L","Basic Materials","Croda International PLC"
"ADM LN Equity","ADM.L","Financial","Admiral Group PLC"
"AGT LN Equity","AGT.L",NA,"Avi Global Trust PLC"
"AHT LN Equity","AHT.L","Consumer, Non-cyclical","Ashtead Group PLC"
"BNKR LN Equity","BNKR.L",NA,"Bankers Investment Trust PLC/The"
"EXPN LN Equity","EXPN.L","Consumer, Non-cyclical","Experian PLC"
"WWH LN Equity","WWH.L",NA,"Worldwide Healthcare Trust PLC/Fund"
"FLTR LN Equity","FLTR.L",NA,"Flutter Entertainment PLC"
"BOY LN Equity","BOY.L",NA,"Bodycote PLC"
"WG/ LN Equity","WG.L","Energy","John Wood Group PLC"
"OXIG LN Equity","OXIG.L",NA,"Oxford Instruments PLC"
"FOUR LN Equity","FOUR.L",NA,"4imprint Group PLC"
"PAG LN Equity","PAG.L",NA,"Paragon Banking Group PLC"
"WKP LN Equity","WKP.L",NA,"Workspace Group PLC"
"HVPE LN Equity","HVPE.L",NA,"HarbourVest Global Private Equity Ltd"
"ABF LN Equity","ABF.L","Consumer, Non-cyclical","Associated British Foods PLC"
"INCH LN Equity","INCH.L",NA,"Inchcape PLC"
"FSFL LN Equity","FSFL.L",NA,"Foresight Solar Fund Ltd"
"FSJ LN Equity","FSJ.L",NA,"James Fisher & Sons PLC"
"BRWM LN Equity","BRWM.L",NA,"BlackRock World Mining Trust PLC"
"WOSG LN Equity","WOSG.L",NA,"Watches of Switzerland Group PLC"
"SDP LN Equity","SDP.L",NA,"Schroder AsiaPacific Fund PLC"
"BWY LN Equity","BWY.L",NA,"Bellway PLC"
"FUTR LN Equity","FUTR.L",NA,"Future PLC"
"FXPO LN Equity","FXPO.L",NA,"Ferrexpo PLC"
"BHP LN Equity","BHP.L","Basic Materials","BHP Group PLC"
"FDM LN Equity","FDM.L",NA,"FDM Group Holdings PLC"
"FRES LN Equity","FRES.L","Basic Materials","Fresnillo PLC"
"AML LN Equity","AML.L",NA,"Aston Martin Lagonda Global Holdings PLC"
"MGNS LN Equity","MGNS.L",NA,"Morgan Sindall Group PLC"
"DPH LN Equity","DPH.L",NA,"Dechra Pharmaceuticals PLC"
"FEV LN Equity","FEV.L",NA,"Fidelity European Trust PLC"
"BBGI LN Equity","BBGI.L",NA,"BBGI SICAV SA/Fund"
"FGP LN Equity","FGP.L",NA,"Firstgroup PLC"
"PHP LN Equity","PHP.L",NA,"Primary Health Properties PLC"
"AGK LN Equity","AGK.L",NA,"Aggreko PLC"
"FIN LN Equity","FIN.L",NA,"Finablr PLC"
"ITV LN Equity","ITV.L","Communications","ITV PLC"
"ANTO LN Equity","ANTO.L","Basic Materials","Antofagasta PLC"
"AO/ LN Equity","AO.L",NA,"AO World PLC"
"3IN LN Equity","3IN.L",NA,"3i Infrastructure PLC"
"888 LN Equity","888.L",NA,"888 Holdings PLC"
"DC/ LN Equity","DC.L",NA,"Dixons Carphone PLC"
"APAX LN Equity","APAX.L",NA,"Apax Global Alpha Ltd"
"CCR LN Equity","CCR.L",NA,"C&C Group PLC"
"FSV LN Equity","FSV.L",NA,"Fidelity Special Values PLC"
"GNS LN Equity","GNS.L",NA,"Genus PLC"
"GOG LN Equity","GOG.L",NA,"Go-Ahead Group PLC/The"
"ASCL LN Equity","ASCL.L",NA,"Ascential PLC"
"OXB LN Equity","OXB.L",NA,"Oxford Biomedica PLC"
"ASL LN Equity","ASL.L",NA,"Aberforth Smaller Companies Trust PLC"
"POLY LN Equity","POLY.L",NA,"Polymetal International PLC"
"GPOR LN Equity","GPOR.L",NA,"Great Portland Estates PLC"
"PPH LN Equity","PPH.L",NA,"PPHE Hotel Group Ltd"
"CHG LN Equity","CHG.L",NA,"Chemring Group PLC"
"GRG LN Equity","GRG.L",NA,"Greggs PLC"
"GRI LN Equity","GRI.L",NA,"Grainger PLC"
"PRU LN Equity","PRU.L","Financial","Prudential PLC"
"SOI LN Equity","SOI.L",NA,"Schroder Oriental Income Fund Ltd"
"GSK LN Equity","GSK.L","Consumer, Non-cyclical","GlaxoSmithKline PLC"
"ATST LN Equity","ATST.L",NA,"Alliance Trust PLC"
"ATT LN Equity","ATT.L",NA,"Allianz Technology Trust PLC"
"PSN LN Equity","PSN.L","Consumer, Cyclical","Persimmon PLC"
"AUTO LN Equity","AUTO.L","Communications","Auto Trader Group PLC"
"AV/ LN Equity","AV.L","Financial","Aviva PLC"
"PFC LN Equity","PFC.L",NA,"Petrofac Ltd"
"GAW LN Equity","GAW.L",NA,"Games Workshop Group PLC"
"GCP LN Equity","GCP.L",NA,"GCP Infrastructure Investments Ltd"
"AVST LN Equity","AVST.L",NA,"Avast PLC"
"AVV LN Equity","AVV.L",NA,"AVEVA Group PLC"
"VOF LN Equity","VOF.L",NA,"VinaCapital Vietnam Opportunity Fund Ltd"
"GFS LN Equity","GFS.L",NA,"G4S PLC"
"NXT LN Equity","NXT.L","Consumer, Cyclical","Next PLC"
"PHNX LN Equity","PHNX.L",NA,"Phoenix Group Holdings PLC"
"QLT LN Equity","QLT.L",NA,"Quilter PLC"
"RR/ LN Equity","RR.L","Industrial","Rolls-Royce Holdings PLC"
"CNA LN Equity","CNA.L","Utilities","Centrica PLC"
"BA/ LN Equity","BA.L","Industrial","BAE Systems PLC"
"BAB LN Equity","BAB.L",NA,"Babcock International Group PLC"
"HICL LN Equity","HICL.L",NA,"Hicl Infrastructure PLC"
"BAG LN Equity","BAG.L",NA,"AG Barr PLC"
"PLP LN Equity","PLP.L",NA,"Polypipe Group plc"
"PLUS LN Equity","PLUS.L",NA,"Plus500 Ltd"
"ESNT LN Equity","ESNT.L",NA,"Essentra PLC"
"BATS LN Equity","BATS.L","Consumer, Non-cyclical","British American Tobacco PLC"
"NG/ LN Equity","NG.L","Utilities","National Grid PLC"
"RDSB LN Equity","RDSB.L","Energy","Royal Dutch Shell PLC"
"WEIR LN Equity","WEIR.L",NA,"Weir Group PLC/The"
"RDW LN Equity","RDW.L",NA,"Redrow PLC"
"BBH LN Equity","BBH.L",NA,"BB Healthcare Trust Plc"
"BBOX LN Equity","BBOX.L",NA,"Tritax Big Box REIT PLC"
"III LN Equity","III.L","Financial","3i Group PLC"
"REL LN Equity","REL.L","Consumer, Non-cyclical","RELX PLC"
"CPI LN Equity","CPI.L",NA,"Capita PLC"
"WIZZ LN Equity","WIZZ.L",NA,"Wizz Air Holdings Plc"
"BRW LN Equity","BRW.L",NA,"Brewin Dolphin Holdings PLC"
"BCPT LN Equity","BCPT.L",NA,"BMO Commercial Property Trust Ltd"
"CRH LN Equity","CRH.L","Industrial","CRH PLC"
"HSBA LN Equity","HSBA.L","Financial","HSBC Holdings PLC"
"WMH LN Equity","WMH.L",NA,"William Hill PLC"
"HSL LN Equity","HSL.L",NA,"Henderson Smaller Companies Investment T"
"BEZ LN Equity","BEZ.L",NA,"Beazley PLC"
"HSTG LN Equity","HSTG.L",NA,"Hastings Group Holdings PLC"
"CSP LN Equity","CSP.L",NA,"Countryside Properties PLC"
"BGFD LN Equity","BGFD.L",NA,"Baillie Gifford Japan Trust PLC/The"
"BGSC LN Equity","BGSC.L",NA,"BMO Global Smaller Companies PLC/Fund"
"CTEC LN Equity","CTEC.L",NA,"ConvaTec Group PLC"
"RNK LN Equity","RNK.L",NA,"Rank Group PLC"
"BIFF LN Equity","BIFF.L",NA,"Biffa PLC"
"WTB LN Equity","WTB.L","Consumer, Cyclical","Whitbread PLC"
"HWDN LN Equity","HWDN.L",NA,"Howden Joinery Group PLC"
"MYI LN Equity","MYI.L",NA,"Murray International Trust PLC"
"PZC LN Equity","PZC.L",NA,"PZ Cussons PLC"
"ROR LN Equity","ROR.L",NA,"Rotork PLC"
"LSE LN Equity","LSE.L","Financial","London Stock Exchange Group PLC"
"SSPG LN Equity","SSPG.L",NA,"SSP Group Plc"
"RSA LN Equity","RSA.L","Financial","RSA Insurance Group PLC"
"PIN LN Equity","PIN.L",NA,"Pantheon International PLC/The Fund"
"AGR LN Equity","AGR.L",NA,"Assura PLC"
"BLND LN Equity","BLND.L","Financial","British Land Co PLC/The"
"BME LN Equity","BME.L",NA,"B&M European Value Retail SA"
"NWG LN Equity","NWG.L","Financial","Royal Bank of Scotland Group PLC"
"BARC LN Equity","BARC.L","Financial","Barclays PLC"
"LXI LN Equity","LXI.L",NA,"LXI REIT plc"
"IEM LN Equity","IEM.L",NA,"Impax Environmental Markets PLC"
"SAFE LN Equity","SAFE.L",NA,"Safestore Holdings PLC"
"SAIN LN Equity","SAIN.L",NA,"Scottish American Investment Co PLC/The"
"OSB LN Equity","OSB.L",NA,"OneSavings Bank PLC"
"IGG LN Equity","IGG.L",NA,"IG Group Holdings PLC"
"JD/ LN Equity","JD.L",NA,"JD Sports Fashion PLC"
"BP/ LN Equity","BP.L","Energy","BP PLC"
"JEO LN Equity","JEO.L",NA,"European Opportunities Trust PLC"
"FRAS LN Equity","FRAS.L",NA,"Frasers Group PLC"
"IMB LN Equity","IMB.L","Consumer, Non-cyclical","Imperial Brands PLC"
"BRSC LN Equity","BRSC.L",NA,"BlackRock Smaller Cos Trust PLC"
"MRO LN Equity","MRO.L","Financial","Melrose Industries PLC"
"TRY LN Equity","TRY.L",NA,"TR Property Investment Trust PLC - Ordin"
"SBRY LN Equity","SBRY.L","Consumer, Non-cyclical","J Sainsbury PLC"
"BT/A LN Equity","BT-A.L","Communications","BT Group PLC"
"BVIC LN Equity","BVIC.L",NA,"Britvic PLC"
"SCIN LN Equity","SCIN.L",NA,"Scottish Investment Trust PLC"
"INPP LN Equity","INPP.L",NA,"International Public Partnerships Ltd"
"SCT LN Equity","SCT.L",NA,"Softcat PLC"
"JUP LN Equity","JUP.L",NA,"Jupiter Fund Management PLC"
"TUI LN Equity","TUI.L","Consumer, Cyclical","TUI AG"
"BYG LN Equity","BYG.L",NA,"Big Yellow Group PLC"
"INVP LN Equity","INVP.L",NA,"Investec PLC"
"MGAM LN Equity","MGAM.L",NA,"Morgan Advanced Materials PLC"
"SEQI LN Equity","SEQI.L",NA,"Sequoia Economic Infrastructure Income F"
"IPO LN Equity","IPO.L",NA,"IP Group PLC"
"SGE LN Equity","SGE.L","Technology","Sage Group PLC/The"
"SPX LN Equity","SPX.L","Industrial","Spirax-Sarco Engineering PLC"
"BKG LN Equity","BKG.L","Consumer, Cyclical","Berkeley Group Holdings PLC"
"GFTU LN Equity","GFTU.L",NA,"Grafton Group PLC"
"SHB LN Equity","SHB.L",NA,"Shaftesbury PLC"
"UDG LN Equity","UDG.L",NA,"UDG Healthcare PLC"
"QQ/ LN Equity","QQ.L",NA,"QinetiQ Group PLC"
"VSVS LN Equity","VSVS.L",NA,"Vesuvius PLC"
"UKCM LN Equity","UKCM.L",NA,"UK Commercial Property REIT Ltd"
"MNDI LN Equity","MNDI.L","Basic Materials","Mondi PLC"
"CCC LN Equity","CCC.L",NA,"Computacenter PLC"
"PLI LN Equity","PLI.L",NA,"Perpetual Income and Growth Investment T"
"ULVR LN Equity","ULVR.L","Consumer, Non-cyclical","Unilever PLC"
"CCL LN Equity","CCL.L","Consumer, Cyclical","Carnival PLC"
"IWG LN Equity","IWG.L",NA,"IWG PLC"
"MONY LN Equity","MONY.L",NA,"Moneysupermarket.com Group PLC"
"GNC LN Equity","GNC.L",NA,"Greencore Group PLC"
"SKG LN Equity","SKG.L","Basic Materials","Smurfit Kappa Group PLC"
"PNL LN Equity","PNL.L",NA,"Personal Assets Trust PLC/Fund"
"BNZL LN Equity","BNZL.L","Consumer, Cyclical","Bunzl PLC"
"ASHM LN Equity","ASHM.L",NA,"Ashmore Group PLC"
"LAND LN Equity","LAND.L","Financial","Land Securities Group PLC"
"JET LN Equity","JET.L",NA,"Just Eat Takeaway.com NV"
"JFJ LN Equity","JFJ.L",NA,"JPMorgan Japanese Investment Trust PLC/F"
"SN/ LN Equity","SN.L","Consumer, Non-cyclical","Smith & Nephew PLC"
"EDIN LN Equity","EDIN.L",NA,"Edinburgh Investment Trust PLC/The"
"JLG LN Equity","JLG.L",NA,"John Laing Group PLC"
"JMAT LN Equity","JMAT.L","Basic Materials","Johnson Matthey PLC"
"JMG LN Equity","JMG.L",NA,"JPMorgan Emerging Markets Investment Tru"
"LGEN LN Equity","LGEN.L","Financial","Legal & General Group PLC"
"CRST LN Equity","CRST.L",NA,"Crest Nicholson Holdings plc"
"MSLH LN Equity","MSLH.L",NA,"Marshalls PLC"
"CINE LN Equity","CINE.L",NA,"Cineworld Group PLC"
"CSH LN Equity","CSH.L",NA,"Civitas Social Housing PLC"
"CKN LN Equity","CKN.L",NA,"Clarkson PLC"
"EMG LN Equity","EMG.L",NA,"Man Group PLC/Jersey"
"HAS LN Equity","HAS.L",NA,"Hays PLC"
"PTEC LN Equity","PTEC.L",NA,"Playtech Plc"
"AVON LN Equity","AVON.L",NA,"Avon Rubber PLC"
"CLSN LN Equity","CLSN.L",NA,"Calisen PLC"
"SRP LN Equity","SRP.L",NA,"Serco Group PLC"
"HIK LN Equity","HIK.L","Consumer, Non-cyclical","Hikma Pharmaceuticals PLC"
"CAPC LN Equity","CAPC.L",NA,"Capital & Counties Properties PLC"
"N91 LN Equity","N91.L",NA,"Ninety One PLC"
"KGF LN Equity","KGF.L","Consumer, Cyclical","Kingfisher PLC"
"ENOG LN Equity","ENOG.L",NA,"Energean PLC"
"CWK LN Equity","CWK.L",NA,"Cranswick PLC"
"TEP LN Equity","TEP.L",NA,"Telecom Plus PLC"
"VTY LN Equity","VTY.L",NA,"Vistry Group PLC"
"CNE LN Equity","CNE.L",NA,"Cairn Energy PLC"
"STJ LN Equity","STJ.L","Financial","St James's Place PLC"
"COA LN Equity","COA.L",NA,"Coats Group PLC"
"ICGT LN Equity","ICGT.L",NA,"ICG Enterprise Trust PLC"
"KNOS LN Equity","KNOS.L",NA,"Kainos Group PLC"
"SYNT LN Equity","SYNT.L",NA,"Synthomer PLC"
"NETW LN Equity","NETW.L",NA,"Network International Holdings PLC"
"HLMA LN Equity","HLMA.L","Industrial","Halma PLC"
"SVS LN Equity","SVS.L",NA,"Savills PLC"
"SVT LN Equity","SVT.L","Utilities","Severn Trent PLC"
"AJB LN Equity","AJB.L",NA,"AJ Bell PLC"
"HMSO LN Equity","HMSO.L",NA,"Hammerson PLC"
"TPK LN Equity","TPK.L",NA,"Travis Perkins PLC"
"DGE LN Equity","DGE.L","Consumer, Non-cyclical","Diageo PLC"
"CPG LN Equity","CPG.L","Consumer, Cyclical","Compass Group PLC"
"EWI LN Equity","EWI.L",NA,"Edinburgh Worldwide Investment Trust PLC"
"SXS LN Equity","SXS.L",NA,"Spectris PLC"
"DIGS LN Equity","DIGS.L",NA,"GCP Student Living PLC"
"MGGT LN Equity","MGGT.L",NA,"Meggitt PLC"
"HRI LN Equity","HRI.L",NA,"Herald Investment Trust PLC"
"TSCO LN Equity","TSCO.L","Consumer, Non-cyclical","Tesco PLC"
"MCRO LN Equity","MCRO.L",NA,"Micro Focus International PLC"
"TALK LN Equity","TALK.L",NA,"TalkTalk Telecom Group PLC"
"TATE LN Equity","TATE.L",NA,"Tate & Lyle PLC"
"GSS LN Equity","GSS.L",NA,"Genesis Emerging Markets Fund Ltd"
"LIO LN Equity","LIO.L",NA,"Liontrust Asset Management PLC"
"LLOY LN Equity","LLOY.L","Financial","Lloyds Banking Group PLC"
"HSX LN Equity","HSX.L","Financial","Hiscox Ltd"
"FCSS LN Equity","FCSS.L",NA,"Fidelity China Special Situations PLC"
"HTWS LN Equity","HTWS.L",NA,"Helios Towers PLC"
"WTAN LN Equity","WTAN.L",NA,"Witan Investment Trust PLC"
"ICP LN Equity","ICP.L",NA,"Intermediate Capital Group PLC"
"ERM LN Equity","ERM.L",NA,"Euromoney Institutional Investor PLC"
"DCC LN Equity","DCC.L","Energy","DCC PLC"
"CTY LN Equity","CTY.L",NA,"City of London Investment Trust PLC/The"
