"Bloomberg","Yahoo","Industry","Name"
"LRE LN Equity","LRE.L",NA,"Lancashire Holdings Ltd"
"IAG LN Equity","IAG.L","Consumer, Cyclical","International Consolidated Airlines Grou"
"AZN LN Equity","AZN.L","Consumer, Non-cyclical","AstraZeneca PLC"
"STAN LN Equity","STAN.L","Financial","Standard Chartered PLC"
"DRX LN Equity","DRX.L",NA,"Drax Group PLC"
"IBST LN Equity","IBST.L",NA,"Ibstock PLC"
"RSW LN Equity","RSW.L",NA,"Renishaw PLC"
"RTO LN Equity","RTO.L","Consumer, Non-cyclical","Rentokil Initial PLC"
"CCH LN Equity","CCH.L","Consumer, Non-cyclical","Coca-Cola HBC AG"
"SMWH LN Equity","SMWH.L",NA,"WH Smith PLC"
"PAY LN Equity","PAY.L",NA,"PayPoint PLC"
"VCT LN Equity","VCT.L",NA,"Victrex PLC"
"HILS LN Equity","HILS.L",NA,"Hill & Smith Holdings PLC"
"SLA LN Equity","SLA.L","Financial","Standard Life Aberdeen PLC"
"MAB LN Equity","MAB.L",NA,"Mitchells & Butlers PLC"
"RDSA LN Equity","RDSA.L","Energy","Royal Dutch Shell PLC"
"MRC LN Equity","MRC.L",NA,"Mercantile Investment Trust PLC"
"CEY LN Equity","CEY.L",NA,"Centamin PLC"
"JDW LN Equity","JDW.L",NA,"J D Wetherspoon PLC"
"TRIG LN Equity","TRIG.L",NA,"Renewables Infrastructure Group Ltd/The"
"TRN LN Equity","TRN.L",NA,"Trainline PLC"
"BRBY LN Equity","BRBY.L","Consumer, Cyclical","Burberry Group PLC"
"DOM LN Equity","DOM.L",NA,"Domino's Pizza Group PLC"
"VOD LN Equity","VOD.L","Communications","Vodafone Group PLC"
"LWDB LN Equity","LWDB.L",NA,"Law Debenture Corp PLC/fund"
"VEIL LN Equity","VEIL.L",NA,"Vietnam Enterprise Investments Ltd"
"PRTC LN Equity","PRTC.L",NA,"PureTech Health Plc"
"DLG LN Equity","DLG.L","Financial","Direct Line Insurance Group PLC"
"DLN LN Equity","DLN.L",NA,"Derwent London PLC"
"RIO LN Equity","RIO.L","Basic Materials","Rio Tinto PLC"
"GVC LN Equity","GVC.L","Consumer, Cyclical","GVC Holdings PLC"
"SDR LN Equity","SDR.L","Financial","Schroders PLC"
"DNLM LN Equity","DNLM.L",NA,"Dunelm Group PLC"
"TW/ LN Equity","TW.L","Consumer, Cyclical","Taylor Wimpey PLC"
"CLI LN Equity","CLI.L",NA,"CLS Holdings PLC"
"RB/ LN Equity","RB.L","Consumer, Non-cyclical","Reckitt Benckiser Group PLC"
"MNKS LN Equity","MNKS.L",NA,"Monks Investment Trust PLC/The"
"MRW LN Equity","MRW.L","Consumer, Non-cyclical","Wm Morrison Supermarkets PLC"
"NESF LN Equity","NESF.L",NA,"NextEnergy Solar Fund Ltd"
"DPLM LN Equity","DPLM.L",NA,"Diploma PLC"
"SGRO LN Equity","SGRO.L","Financial","Segro PLC"
"AAL LN Equity","AAL.L","Basic Materials","Anglo American PLC"
"MKS LN Equity","MKS.L","Consumer, Cyclical","Marks & Spencer Group PLC"
"TEM LN Equity","TEM.L",NA,"Templeton Emerging Markets Investment Tr"
"PNN LN Equity","PNN.L",NA,"Pennon Group PLC"
"CBG LN Equity","CBG.L",NA,"Close Brothers Group PLC"
"SIG LN Equity","SIG.L",NA,"Signature Aviation PLC"
"MNG LN Equity","MNG.L",NA,"M&G PLC"
"SMT LN Equity","SMT.L","Financial","Scottish Mortgage Investment Trust PLC"
"UTG LN Equity","UTG.L",NA,"UNITE Group PLC/The"
"RMV LN Equity","RMV.L","Communications","Rightmove PLC"
"SYNC LN Equity","SYNC.L",NA,"Syncona Limited"
"TIFS LN Equity","TIFS.L",NA,"TI Fluid Systems PLC"
"NEX LN Equity","NEX.L",NA,"National Express Group PLC"
"RHIM LN Equity","RHIM.L",NA,"Rhi Magnesita NV"
"RCP LN Equity","RCP.L",NA,"RIT Capital Partners PLC/Fund"
"TMPL LN Equity","TMPL.L",NA,"Temple Bar Investment Trust PLC"
"MDC LN Equity","MDC.L",NA,"Mediclinic International PLC"
"IHG LN Equity","IHG.L","Consumer, Cyclical","InterContinental Hotels Group PLC"
"ECM LN Equity","ECM.L",NA,"Electrocomponents PLC"
"UU/ LN Equity","UU.L","Utilities","United Utilities Group PLC"
"RMG LN Equity","RMG.L",NA,"Royal Mail PLC"
"SRE LN Equity","SRE.L",NA,"Sirius Real Estate Ltd"
"GLO LN Equity","GLO.L",NA,"ContourGlobal PLC"
"ULE LN Equity","ULE.L",NA,"Ultra Electronics Holdings PLC"
"SNN LN Equity","SNN.L",NA,"Sanne Group PLC"
"SSE LN Equity","SSE.L","Utilities","SSE PLC"
"SBRE LN Equity","SBRE.L",NA,"Sabre Insurance Group PLC"
"JAM LN Equity","JAM.L",NA,"JPMorgan American Investment Trust PLC/F"
"PCT LN Equity","PCT.L",NA,"Polar Capital Technology Trust PLC"
"SSON LN Equity","SSON.L",NA,"Smithson Investment Trust PLC"
"PSH LN Equity","PSH.L",NA,"Pershing Square Holdings Ltd/Fund"
"GYS LN Equity","GYS.L",NA,"Gamesys Group PLC"
"CLDN LN Equity","CLDN.L",NA,"Caledonia Investments PLC"
"HGT LN Equity","HGT.L",NA,"HgCapital Trust PLC/Fund"
"GLEN LN Equity","GLEN.L","Basic Materials","Glencore PLC"
"SMIN LN Equity","SMIN.L","Industrial","Smiths Group PLC"
"PAGE LN Equity","PAGE.L",NA,"Pagegroup PLC"
"IMI LN Equity","IMI.L",NA,"IMI PLC"
"JLEN LN Equity","JLEN.L",NA,"JLEN Environmental Assets Group Ltd"
"SMP LN Equity","SMP.L",NA,"St Modwen Properties PLC"
"INF LN Equity","INF.L","Communications","Informa PLC"
"HL/ LN Equity","HL.L","Financial","Hargreaves Lansdown PLC"
"POG LN Equity","POG.L",NA,"Petropavlovsk PLC"
"VMUK LN Equity","VMUK.L",NA,"Virgin Money UK PLC"
"SMDS LN Equity","SMDS.L","Industrial","DS Smith PLC"
"EQN LN Equity","EQN.L",NA,"Equiniti Group PLC"
"KAZ LN Equity","KAZ.L",NA,"KAZ Minerals PLC"
"PETS LN Equity","PETS.L",NA,"Pets at Home Group Plc"
"LMP LN Equity","LMP.L",NA,"LondonMetric Property PLC"
"PFG LN Equity","PFG.L",NA,"Provident Financial PLC"
"IHP LN Equity","IHP.L",NA,"IntegraFin Holdings PLC"
"UKW LN Equity","UKW.L",NA,"Greencoat UK Wind PLC/Funds"
"PSSL LN Equity","PSSL.L",NA,"Pollen Street Secured Lending PLC"
"SONG LN Equity","SONG.L",NA,"Hipgnosis Songs Fund Ltd/The Fund"
"RAT LN Equity","RAT.L",NA,"Rathbone Brothers PLC"
"HSV LN Equity","HSV.L",NA,"HomeServe PLC"
"OCDO LN Equity","OCDO.L","Consumer, Non-cyclical","Ocado Group PLC"
"VVO LN Equity","VVO.L",NA,"Vivo Energy PLC"
"TBCG LN Equity","TBCG.L",NA,"TBC Bank Group PLC"
"SPT LN Equity","SPT.L",NA,"Spirent Communications PLC"
"PSON LN Equity","PSON.L","Communications","Pearson PLC"
"XPP LN Equity","XPP.L",NA,"XP Power Ltd"
"JUST LN Equity","JUST.L",NA,"Just Group PLC"
"ITRK LN Equity","ITRK.L","Consumer, Non-cyclical","Intertek Group PLC"
"HFG LN Equity","HFG.L",NA,"Hilton Food Group PLC"
"TCAP LN Equity","TCAP.L",NA,"TP ICAP PLC"
"PRX NA Equity","PRX.AS",NA,"Prosus NV"
"ADYEN NA Equity","ADYEN.AS",NA,"Adyen NV"
"NN NA Equity","NN.AS","Financial","NN Group NV"
"INGA NA Equity","INGA.AS","Financial","ING Groep NV"
"GLPG NA Equity","GLPG.AS","Consumer, Non-cyclical","Galapagos NV"
"KPN NA Equity","KPN.AS","Communications","Koninklijke KPN NV"
"AKZA NA Equity","AKZA.AS","Basic Materials","Akzo Nobel NV"
"TKWY NA Equity","TKWY.AS",NA,"Just Eat Takeaway.com NV"
"HEIA NA Equity","HEIA.AS","Consumer, Non-cyclical","Heineken NV"
"WKL NA Equity","WKL.AS","Communications","Wolters Kluwer NV"
"IMCD NA Equity","IMCD.AS",NA,"IMCD NV"
"RDSA NA Equity","RDSA.AS","Energy","Royal Dutch Shell PLC"
"PHIA NA Equity","PHIA.AS","Consumer, Non-cyclical","Koninklijke Philips NV"
"UNA NA Equity","UNA.AS","Consumer, Non-cyclical","Unilever NV"
"ABN NA Equity","ABN.AS",NA,"ABN AMRO Bank NV"
"ASRNL NA Equity","ASRNL.AS","Financial","ASR Nederland NV"
"ASM NA Equity","ASM.AS",NA,"ASM International NV"
"REN NA Equity","REN.AS","Consumer, Non-cyclical","RELX PLC"
"MT NA Equity","MT.AS",NA,"ArcelorMittal SA"
"ASML NA Equity","ASML.AS","Technology","ASML Holding NV"
"URW NA Equity","URW.AS","Financial","Unibail-Rodamco-Westfield"
"AGN NA Equity","AGN.AS","Financial","Aegon NV"
"AD NA Equity","AD.AS","Consumer, Non-cyclical","Koninklijke Ahold Delhaize NV"
"DSM NA Equity","DSM.AS","Basic Materials","Koninklijke DSM NV"
"RAND NA Equity","RAND.AS","Consumer, Non-cyclical","Randstad NV"
"SUBC NO Equity","SUBC.OL","Energy","Subsea 7 SA"
"NHY NO Equity","NHY.OL","Basic Materials","Norsk Hydro ASA"
"FRO NO Equity","FRO.OL",NA,"Frontline Ltd/Bermuda"
"MOWI NO Equity","MOWI.OL","Consumer, Non-cyclical","Mowi ASA"
"TOM NO Equity","TOM.OL",NA,"TOMRA Systems ASA"
"AKERBP NO Equity","AKERBP.OL","Energy","Aker BP ASA"
"SALM NO Equity","SALM.OL","Consumer, Non-cyclical","Salmar ASA"
"SSO NO Equity","SSO.OL",NA,"Scatec Solar ASA"
"SCHA NO Equity","SCHA.OL","Communications","Schibsted ASA"
"LSG NO Equity","LSG.OL","Consumer, Non-cyclical","Leroy Seafood Group ASA"
"AKER NO Equity","AKER.OL","Financial","Aker ASA"
"NEL NO Equity","NEL.OL","Energy","NEL ASA"
"TEL NO Equity","TEL.OL","Communications","Telenor ASA"
"EQNR NO Equity","EQNR.OL","Energy","Equinor ASA"
"ENTRA NO Equity","ENTRA.OL",NA,"Entra ASA"
"YAR NO Equity","YAR.OL","Basic Materials","Yara International ASA"
"GJF NO Equity","GJF.OL","Financial","Gjensidige Forsikring ASA"
"TGS NO Equity","TGS.OL","Energy","TGS NOPEC Geophysical Co ASA"
"DNO NO Equity","DNO.OL","Energy","DNO ASA"
"ORK NO Equity","ORK.OL","Consumer, Non-cyclical","Orkla ASA"
"BAKKA NO Equity","BAKKA.OL","Consumer, Non-cyclical","Bakkafrost P/F"
"DNB NO Equity","DNB.OL","Financial","DNB ASA"
"BWLPG NO Equity","BWLPG.OL",NA,"BW LPG Ltd"
"STB NO Equity","STB.OL","Financial","Storebrand ASA"
"BWO NO Equity","BWO.OL","Industrial","BW Offshore Ltd"
"CTT PL Equity","CTT.LS","Consumer, Non-cyclical","CTT-Correios de Portugal SA"
"EDPR PL Equity","EDPR.LS","Utilities","EDP Renovaveis SA"
"JMT PL Equity","JMT.LS","Consumer, Non-cyclical","Jeronimo Martins SGPS SA"
"ALTR PL Equity","ALTR.LS","Basic Materials","Altri SGPS SA"
"NOS PL Equity","NOS.LS","Communications","NOS SGPS SA"
"SEM PL Equity","SEM.LS","Basic Materials","Semapa-Sociedade de Investimento e Gesta"
"RENE PL Equity","RENE.LS","Utilities","REN - Redes Energeticas Nacionais SGPS S"
"NVG PL Equity","NVG.LS","Basic Materials","Navigator Co SA/The"
"COR PL Equity","COR.LS","Basic Materials","Corticeira Amorim SGPS SA"
"NBA PL Equity","NBA.LS",NA,"Novabase SGPS SA"
"BCP PL Equity","BCP.LS","Financial","Banco Comercial Portugues SA"
"PHR PL Equity","PHR.LS","Communications","Pharol SGPS SA"
"SON PL Equity","SON.LS","Consumer, Non-cyclical","Sonae SGPS SA"
"SONC PL Equity","SONC.LS","Diversified","Sonae Capital SGPS SA"
"EDP PL Equity","EDP.LS","Utilities","EDP - Energias de Portugal SA"
"GALP PL Equity","GALP.LS","Energy","Galp Energia SGPS SA"
"IBS PL Equity","IBS.LS","Consumer, Cyclical","Ibersol SGPS SA"
"EGL PL Equity","EGL.LS","Industrial","Mota-Engil SGPS SA"
"SGRE SM Equity","SGRE.MC","Energy","Siemens Gamesa Renewable Energy SA"
"ANA SM Equity","ANA.MC","Industrial","Acciona SA"
"SAN SM Equity","SAN.MC","Financial","Banco Santander SA"
"COL SM Equity","COL.MC","Financial","Inmobiliaria Colonial Socimi SA"
"ENG SM Equity","ENG.MC","Utilities","Enagas SA"
"IAG SM Equity","IAG.MC","Consumer, Cyclical","International Consolidated Airlines Grou"
"CIE SM Equity","CIE.MC","Consumer, Cyclical","CIE Automotive SA"
"AENA SM Equity","AENA.MC","Industrial","Aena SME SA"
"MAP SM Equity","MAP.MC","Financial","Mapfre SA"
"TEF SM Equity","TEF.MC","Communications","Telefonica SA"
"MEL SM Equity","MEL.MC","Consumer, Cyclical","Melia Hotels International SA"
"CABK SM Equity","CABK.MC","Financial","CaixaBank SA"
"REP SM Equity","REP.MC","Energy","Repsol SA"
"SAB SM Equity","SAB.MC","Financial","Banco de Sabadell SA"
"IBE SM Equity","IBE.MC","Utilities","Iberdrola SA"
"FER SM Equity","FER.MC","Industrial","Ferrovial SA"
"ALM SM Equity","ALM.MC",NA,"Almirall SA"
"ELE SM Equity","ELE.MC","Utilities","Endesa SA"
"IDR SM Equity","IDR.MC","Technology","Indra Sistemas SA"
"VIS SM Equity","VIS.MC","Consumer, Non-cyclical","Viscofan SA"
"ACX SM Equity","ACX.MC","Basic Materials","Acerinox SA"
"NTGY SM Equity","NTGY.MC","Utilities","Naturgy Energy Group SA"
"BKIA SM Equity","BKIA.MC","Financial","Bankia SA"
"ENC SM Equity","ENC.MC","Basic Materials","Ence Energia y Celulosa SA"
"GRF SM Equity","GRF.MC","Consumer, Non-cyclical","Grifols SA"
"ACS SM Equity","ACS.MC","Industrial","ACS Actividades de Construccion y Servic"
"BKT SM Equity","BKT.MC","Financial","Bankinter SA"
"MAS SM Equity","MAS.MC",NA,"Masmovil Ibercom SA"
"AMS SM Equity","AMS.MC","Technology","Amadeus IT Group SA"
"BBVA SM Equity","BBVA.MC","Financial","Banco Bilbao Vizcaya Argentaria SA"
"MRL SM Equity","MRL.MC","Financial","Merlin Properties Socimi SA"
"REE SM Equity","REE.MC","Utilities","Red Electrica Corp SA"
"CLNX SM Equity","CLNX.MC","Communications","Cellnex Telecom SA"
"ITX SM Equity","ITX.MC","Consumer, Cyclical","Industria de Diseno Textil SA"
"MTS SM Equity","MTS.MC",NA,"ArcelorMittal SA"
"AMS SQ Equity","AMS.MC","Technology","Amadeus IT Group SA"
"SAN SQ Equity","SAN.MC","Financial","Banco Santander SA"
"ITX SQ Equity","ITX.MC","Consumer, Cyclical","Industria de Diseno Textil SA"
"TEF SQ Equity","TEF.MC","Communications","Telefonica SA"
"IBE SQ Equity","IBE.MC","Utilities","Iberdrola SA"
"TELIA SS Equity","TELIA.ST","Communications","Telia Co AB"
"SKAB SS Equity","SKA-B.ST","Industrial","Skanska AB"
"TEL2B SS Equity","TEL2-B.ST","Communications","Tele2 AB"
"SWEDA SS Equity","SWED-A.ST","Financial","Swedbank AB"
"ERICB SS Equity","ERIC-B.ST","Communications","Telefonaktiebolaget LM Ericsson"
"ATCOB SS Equity","ATCO-B.ST","Industrial","Atlas Copco AB"
"ESSITYB SS Equity","ESSITY-B.ST","Consumer, Non-cyclical","Essity AB"
"ATCOA SS Equity","ATCO-A.ST","Industrial","Atlas Copco AB"
"SKFB SS Equity","SKF-B.ST","Industrial","SKF AB"
"SSABA SS Equity","SSAB-A.ST","Basic Materials","SSAB AB"
"GETIB SS Equity","GETI-B.ST","Consumer, Non-cyclical","Getinge AB"
"BOL SS Equity","BOL.ST","Basic Materials","Boliden AB"
"KINVB SS Equity","KINV-B.ST","Financial","Kinnevik AB"
"ALIV SS Equity","ALIV-SDB.ST","Consumer, Cyclical","Autoliv Inc"
"SWMA SS Equity","SWMA.ST","Consumer, Non-cyclical","Swedish Match AB"
"ABB SS Equity","ABB.ST","Industrial","ABB Ltd"
"SCAB SS Equity","SCA-B.ST","Basic Materials","Svenska Cellulosa AB SCA"
"ALFA SS Equity","ALFA.ST","Industrial","Alfa Laval AB"
"ELUXB SS Equity","ELUX-B.ST","Consumer, Cyclical","Electrolux AB"
"AZN SS Equity","AZN.ST","Consumer, Non-cyclical","AstraZeneca PLC"
"HEXAB SS Equity","HEXA-B.ST","Industrial","Hexagon AB"
"ASSAB SS Equity","ASSA-B.ST","Industrial","Assa Abloy AB"
"SEBA SS Equity","SEB-A.ST","Financial","Skandinaviska Enskilda Banken AB"
"SAND SS Equity","SAND.ST","Industrial","Sandvik AB"
"SECUB SS Equity","SECU-B.ST","Consumer, Non-cyclical","Securitas AB"
"VOLVB SS Equity","VOLV-B.ST","Consumer, Cyclical","Volvo AB"
"SHBA SS Equity","SHB-A.ST","Financial","Svenska Handelsbanken AB"
"HMB SS Equity","HM-B.ST","Consumer, Cyclical","Hennes & Mauritz AB"
"INVEB SS Equity","INVE-B.ST","Financial","Investor AB"
"NDA SS Equity","NDA-SE.ST","Financial","Nordea Bank Abp"
"CBOE UF Equity","CBOE",NA,"Cboe Global Markets Inc"
"JNPR UN Equity","JNPR",NA,"Juniper Networks Inc"
"BLK UN Equity","BLK","Financial","BlackRock Inc"
"ANET UN Equity","ANET",NA,"Arista Networks Inc"
"IFF UN Equity","IFF",NA,"International Flavors & Fragrances Inc"
"CB UN Equity","CB",NA,"Chubb Ltd"
"BA UN Equity","BA","Industrial","Boeing Co/The"
"KEYS UN Equity","KEYS",NA,"Keysight Technologies Inc"
"MDT UN Equity","MDT","Consumer, Non-cyclical","Medtronic PLC"
"CAT UN Equity","CAT","Industrial","Caterpillar Inc"
"KSU UN Equity","KSU",NA,"Kansas City Southern"
"ABC UN Equity","ABC",NA,"AmerisourceBergen Corp"
"AIZ UN Equity","AIZ",NA,"Assurant Inc"
"CNC UN Equity","CNC",NA,"Centene Corp"
"OTIS UN Equity","OTIS",NA,"Otis Worldwide Corp"
"CI UN Equity","CI",NA,"Cigna Corp"
"DRE UN Equity","DRE",NA,"Duke Realty Corp"
"EIX UN Equity","EIX",NA,"Edison International"
"AEE UN Equity","AEE",NA,"Ameren Corp"
"FTV UN Equity","FTV",NA,"Fortive Corp"
"BK UN Equity","BK","Financial","Bank of New York Mellon Corp/The"
"FIS UN Equity","FIS",NA,"Fidelity National Information Services I"
"AFL UN Equity","AFL",NA,"Aflac Inc"
"NSC UN Equity","NSC",NA,"Norfolk Southern Corp"
"CMA UN Equity","CMA",NA,"Comerica Inc"
"GS UN Equity","GS","Financial","Goldman Sachs Group Inc/The"
"LOW UN Equity","LOW","Consumer, Cyclical","Lowe's Cos Inc"
"D UN Equity","D",NA,"Dominion Energy Inc"
"AEP UN Equity","AEP",NA,"American Electric Power Co Inc"
"ETR UN Equity","ETR",NA,"Entergy Corp"
"MPC UN Equity","MPC",NA,"Marathon Petroleum Corp"
"DD UN Equity","DD",NA,"DuPont de Nemours Inc"
"CPB UN Equity","CPB",NA,"Campbell Soup Co"
"ABBV UN Equity","ABBV","Consumer, Non-cyclical","AbbVie Inc"
"PH UN Equity","PH",NA,"Parker-Hannifin Corp"
"L UN Equity","L",NA,"Loews Corp"
"IR UN Equity","IR",NA,"Ingersoll Rand Inc"
"CCL UN Equity","CCL",NA,"Carnival Corp"
"WU UN Equity","WU",NA,"Western Union Co/The"
"APD UN Equity","APD",NA,"Air Products and Chemicals Inc"
"CRM UN Equity","CRM",NA,"salesforce.com Inc"
"MSI UN Equity","MSI",NA,"Motorola Solutions Inc"
"INFO UN Equity","INFO",NA,"IHS Markit Ltd"
"PEG UN Equity","PEG",NA,"Public Service Enterprise Group Inc"
"HST UN Equity","HST",NA,"Host Hotels & Resorts Inc"
"FBHS UN Equity","FBHS",NA,"Fortune Brands Home & Security Inc"
"BXP UN Equity","BXP",NA,"Boston Properties Inc"
"EW UN Equity","EW",NA,"Edwards Lifesciences Corp"
"BIO UN Equity","BIO",NA,"Bio-Rad Laboratories Inc"
"CTVA UN Equity","CTVA",NA,"Corteva Inc"
"AMP UN Equity","AMP",NA,"Ameriprise Financial Inc"
"BMY UN Equity","BMY","Consumer, Non-cyclical","Bristol-Myers Squibb Co"
"EXR UN Equity","EXR",NA,"Extra Space Storage Inc"
"GE UN Equity","GE","Industrial","General Electric Co"
"MHK UN Equity","MHK",NA,"Mohawk Industries Inc"
"IRM UN Equity","IRM",NA,"Iron Mountain Inc"
"CVS UN Equity","CVS","Consumer, Non-cyclical","CVS Health Corp"
"DRI UN Equity","DRI",NA,"Darden Restaurants Inc"
"GIS UN Equity","GIS",NA,"General Mills Inc"
"IT UN Equity","IT",NA,"Gartner Inc"
"ANTM UN Equity","ANTM",NA,"Anthem Inc"
"AVY UN Equity","AVY",NA,"Avery Dennison Corp"
"HPQ UN Equity","HPQ",NA,"HP Inc"
"FLT UN Equity","FLT",NA,"FleetCor Technologies Inc"
"HUM UN Equity","HUM",NA,"Humana Inc"
"CAH UN Equity","CAH",NA,"Cardinal Health Inc"
"DVA UN Equity","DVA",NA,"DaVita Inc"
"PM UN Equity","PM","Consumer, Non-cyclical","Philip Morris International Inc"
"JCI UN Equity","JCI",NA,"Johnson Controls International plc"
"CE UN Equity","CE",NA,"Celanese Corp"
"BAX UN Equity","BAX",NA,"Baxter International Inc"
"AAP UN Equity","AAP",NA,"Advance Auto Parts Inc"
"NKE UN Equity","NKE","Consumer, Cyclical","NIKE Inc"
"ECL UN Equity","ECL",NA,"Ecolab Inc"
"HRB UN Equity","HRB",NA,"H&R Block Inc"
"COF UN Equity","COF","Financial","Capital One Financial Corp"
"SYK UN Equity","SYK",NA,"Stryker Corp"
"DUK UN Equity","DUK","Utilities","Duke Energy Corp"
"AOS UN Equity","AOS",NA,"A O Smith Corp"
"BSX UN Equity","BSX",NA,"Boston Scientific Corp"
"FRT UN Equity","FRT",NA,"Federal Realty Investment Trust"
"SO UN Equity","SO","Utilities","Southern Co/The"
"PRU UN Equity","PRU",NA,"Prudential Financial Inc"
"ATO UN Equity","ATO",NA,"Atmos Energy Corp"
"DLR UN Equity","DLR",NA,"Digital Realty Trust Inc"
"PEAK UN Equity","PEAK",NA,"Healthpeak Properties Inc"
"MTD UN Equity","MTD",NA,"Mettler-Toledo International Inc"
"BR UN Equity","BR",NA,"Broadridge Financial Solutions Inc"
"BBY UN Equity","BBY",NA,"Best Buy Co Inc"
"PPL UN Equity","PPL",NA,"PPL Corp"
"MRO UN Equity","MRO",NA,"Marathon Oil Corp"
"DOV UN Equity","DOV",NA,"Dover Corp"
"HBI UN Equity","HBI",NA,"Hanesbrands Inc"
"HCA UN Equity","HCA",NA,"HCA Healthcare Inc"
"HD UN Equity","HD","Consumer, Cyclical","Home Depot Inc/The"
"AWK UN Equity","AWK",NA,"American Water Works Co Inc"
"AXP UN Equity","AXP","Financial","American Express Co"
"CARR UN Equity","CARR",NA,"Carrier Global Corp"
"HES UN Equity","HES",NA,"Hess Corp"
"EOG UN Equity","EOG",NA,"EOG Resources Inc"
"HFC UN Equity","HFC",NA,"HollyFrontier Corp"
"IPG UN Equity","IPG",NA,"Interpublic Group of Cos Inc/The"
"LW UN Equity","LW",NA,"Lamb Weston Holdings Inc"
"NEM UN Equity","NEM",NA,"Newmont Corp"
"CCI UN Equity","CCI",NA,"Crown Castle International Corp"
"HII UN Equity","HII",NA,"Huntington Ingalls Industries Inc"
"KO UN Equity","KO","Consumer, Non-cyclical","Coca-Cola Co/The"
"STZ UN Equity","STZ",NA,"Constellation Brands Inc"
"DE UN Equity","DE",NA,"Deere & Co"
"WEC UN Equity","WEC",NA,"WEC Energy Group Inc"
"MAA UN Equity","MAA",NA,"Mid-America Apartment Communities Inc"
"DFS UN Equity","DFS",NA,"Discover Financial Services"
"NI UN Equity","NI",NA,"NiSource Inc"
"SWK UN Equity","SWK",NA,"Stanley Black & Decker Inc"
"COTY UN Equity","COTY",NA,"Coty Inc"
"DHR UN Equity","DHR","Consumer, Non-cyclical","Danaher Corp"
"LDOS UN Equity","LDOS",NA,"Leidos Holdings Inc"
"HPE UN Equity","HPE",NA,"Hewlett Packard Enterprise Co"
"ALL UN Equity","ALL","Financial","Allstate Corp/The"
"ALK UN Equity","ALK",NA,"Alaska Air Group Inc"
"ABT UN Equity","ABT","Consumer, Non-cyclical","Abbott Laboratories"
"WM UN Equity","WM",NA,"Waste Management Inc"
"NOW UN Equity","NOW",NA,"ServiceNow Inc"
