"Bloomberg","Yahoo","Industry","Name"
"ACN UN Equity","ACN","Technology","Accenture PLC"
"EL UN Equity","EL",NA,"Estee Lauder Cos Inc/The"
"LIN UN Equity","LIN",NA,"Linde PLC"
"BF/B UN Equity","BF-B",NA,"Brown-Forman Corp"
"LLY UN Equity","LLY",NA,"Eli Lilly and Co"
"PFE UN Equity","PFE","Consumer, Non-cyclical","Pfizer Inc"
"IP UN Equity","IP",NA,"International Paper Co"
"FE UN Equity","FE",NA,"FirstEnergy Corp"
"LNC UN Equity","LNC",NA,"Lincoln National Corp"
"AME UN Equity","AME",NA,"AMETEK Inc"
"FDX UN Equity","FDX","Industrial","FedEx Corp"
"NVR UN Equity","NVR",NA,"NVR Inc"
"HWM UN Equity","HWM",NA,"Howmet Aerospace Inc"
"WY UN Equity","WY",NA,"Weyerhaeuser Co"
"ROP UN Equity","ROP",NA,"Roper Technologies Inc"
"AES UN Equity","AES",NA,"AES Corp/The"
"BKR UN Equity","BKR",NA,"Baker Hughes Co"
"IBM UN Equity","IBM","Technology","International Business Machines Corp"
"RSG UN Equity","RSG",NA,"Republic Services Inc"
"DAL UN Equity","DAL",NA,"Delta Air Lines Inc"
"YUM UN Equity","YUM",NA,"Yum! Brands Inc"
"HIG UN Equity","HIG",NA,"Hartford Financial Services Group Inc/Th"
"AIG UN Equity","AIG","Financial","American International Group Inc"
"FLS UN Equity","FLS",NA,"Flowserve Corp"
"ORCL UN Equity","ORCL","Technology","Oracle Corp"
"AIV UN Equity","AIV",NA,"Apartment Investment and Management Co"
"DXC UN Equity","DXC",NA,"DXC Technology Co"
"APH UN Equity","APH",NA,"Amphenol Corp"
"SLB UN Equity","SLB","Energy","Schlumberger Ltd"
"SLG UN Equity","SLG",NA,"SL Green Realty Corp"
"PNR UN Equity","PNR",NA,"Pentair PLC"
"DG UN Equity","DG",NA,"Dollar General Corp"
"LB UN Equity","LB",NA,"L Brands Inc"
"FRC UN Equity","FRC",NA,"First Republic Bank/CA"
"BRK/B UN Equity","BRK-B","Financial","Berkshire Hathaway Inc"
"GPS UN Equity","GPS",NA,"Gap Inc/The"
"V UN Equity","V","Financial","Visa Inc"
"MCK UN Equity","MCK",NA,"McKesson Corp"
"EFX UN Equity","EFX",NA,"Equifax Inc"
"ALLE UN Equity","ALLE",NA,"Allegion plc"
"VFC UN Equity","VFC",NA,"VF Corp"
"WMT UN Equity","WMT","Consumer, Cyclical","Walmart Inc"
"FTI UN Equity","FTI",NA,"TechnipFMC PLC"
"MTB UN Equity","MTB",NA,"M&T Bank Corp"
"TT UN Equity","TT",NA,"Trane Technologies PLC"
"WRK UN Equity","WRK",NA,"Westrock Co"
"ADM UN Equity","ADM",NA,"Archer-Daniels-Midland Co"
"CTL UN Equity","CTL",NA,"CenturyLink Inc"
"SEE UN Equity","SEE",NA,"Sealed Air Corp"
"VNO UN Equity","VNO",NA,"Vornado Realty Trust"
"GD UN Equity","GD","Industrial","General Dynamics Corp"
"IQV UN Equity","IQV",NA,"IQVIA Holdings Inc"
"PGR UN Equity","PGR",NA,"Progressive Corp/The"
"MKC UN Equity","MKC",NA,"McCormick & Co Inc/MD"
"AMT UN Equity","AMT",NA,"American Tower Corp"
"DPZ UN Equity","DPZ",NA,"Domino's Pizza Inc"
"UDR UN Equity","UDR",NA,"UDR Inc"
"MLM UN Equity","MLM",NA,"Martin Marietta Materials Inc"
"GL UN Equity","GL",NA,"Globe Life Inc"
"CBRE UN Equity","CBRE",NA,"CBRE Group Inc"
"OMC UN Equity","OMC",NA,"Omnicom Group Inc"
"TGT UN Equity","TGT","Consumer, Cyclical","Target Corp"
"AON UN Equity","AON",NA,"Aon PLC"
"IVZ UN Equity","IVZ",NA,"Invesco Ltd"
"GM UN Equity","GM","Consumer, Cyclical","General Motors Co"
"J UN Equity","J",NA,"Jacobs Engineering Group Inc"
"FMC UN Equity","FMC",NA,"FMC Corp"
"ESS UN Equity","ESS",NA,"Essex Property Trust Inc"
"COO UN Equity","COO",NA,"Cooper Cos Inc/The"
"COP UN Equity","COP","Energy","ConocoPhillips"
"ETN UN Equity","ETN",NA,"Eaton Corp PLC"
"PNW UN Equity","PNW",NA,"Pinnacle West Capital Corp"
"TPR UN Equity","TPR",NA,"Tapestry Inc"
"NOC UN Equity","NOC",NA,"Northrop Grumman Corp"
"PPG UN Equity","PPG",NA,"PPG Industries Inc"
"SYF UN Equity","SYF",NA,"Synchrony Financial"
"MAS UN Equity","MAS",NA,"Masco Corp"
"PRGO UN Equity","PRGO",NA,"Perrigo Co PLC"
"LEN UN Equity","LEN",NA,"Lennar Corp"
"MSCI UN Equity","MSCI",NA,"MSCI Inc"
"LH UN Equity","LH",NA,"Laboratory Corp of America Holdings"
"JNJ UN Equity","JNJ","Consumer, Non-cyclical","Johnson & Johnson"
"TAP UN Equity","TAP",NA,"Molson Coors Beverage Co"
"BEN UN Equity","BEN",NA,"Franklin Resources Inc"
"GWW UN Equity","GWW",NA,"WW Grainger Inc"
"CL UN Equity","CL","Consumer, Non-cyclical","Colgate-Palmolive Co"
"C UN Equity","C","Financial","Citigroup Inc"
"AMCR UN Equity","AMCR",NA,"Amcor PLC"
"EMR UN Equity","EMR","Industrial","Emerson Electric Co"
"LMT UN Equity","LMT","Industrial","Lockheed Martin Corp"
"SRE UN Equity","SRE",NA,"Sempra Energy"
"CLX UN Equity","CLX",NA,"Clorox Co/The"
"PWR UN Equity","PWR",NA,"Quanta Services Inc"
"KEY UN Equity","KEY",NA,"KeyCorp"
"ROL UN Equity","ROL",NA,"Rollins Inc"
"NCLH UN Equity","NCLH",NA,"Norwegian Cruise Line Holdings Ltd"
"CMI UN Equity","CMI",NA,"Cummins Inc"
"AZO UN Equity","AZO",NA,"AutoZone Inc"
"VTR UN Equity","VTR",NA,"Ventas Inc"
"STE UN Equity","STE",NA,"STERIS PLC"
"KMB UN Equity","KMB",NA,"Kimberly-Clark Corp"
"EQR UN Equity","EQR",NA,"Equity Residential"
"KMX UN Equity","KMX",NA,"CarMax Inc"
"STT UN Equity","STT",NA,"State Street Corp"
"ES UN Equity","ES",NA,"Eversource Energy"
"RCL UN Equity","RCL",NA,"Royal Caribbean Cruises Ltd"
"PNC UN Equity","PNC",NA,"PNC Financial Services Group Inc/The"
"MA UN Equity","MA","Financial","Mastercard Inc"
"IEX UN Equity","IEX",NA,"IDEX Corp"
"AJG UN Equity","AJG",NA,"Arthur J Gallagher & Co"
"UPS UN Equity","UPS","Industrial","United Parcel Service Inc"
"WELL UN Equity","WELL",NA,"Welltower Inc"
"WFC UN Equity","WFC","Financial","Wells Fargo & Co"
"ALB UN Equity","ALB",NA,"Albemarle Corp"
"HON UN Equity","HON","Industrial","Honeywell International Inc"
"DHI UN Equity","DHI",NA,"DR Horton Inc"
"CHD UN Equity","CHD",NA,"Church & Dwight Co Inc"
"MCD UN Equity","MCD","Consumer, Cyclical","McDonald's Corp"
"PAYC UN Equity","PAYC",NA,"Paycom Software Inc"
"HRL UN Equity","HRL",NA,"Hormel Foods Corp"
"MCO UN Equity","MCO",NA,"Moody's Corp"
"WMB UN Equity","WMB",NA,"Williams Cos Inc/The"
"BWA UN Equity","BWA",NA,"BorgWarner Inc"
"TSN UN Equity","TSN",NA,"Tyson Foods Inc"
"RJF UN Equity","RJF",NA,"Raymond James Financial Inc"
"SPG UN Equity","SPG","Financial","Simon Property Group Inc"
"RMD UN Equity","RMD",NA,"ResMed Inc"
"HSY UN Equity","HSY",NA,"Hershey Co/The"
"FCX UN Equity","FCX",NA,"Freeport-McMoRan Inc"
"PSX UN Equity","PSX",NA,"Phillips 66"
"WST UN Equity","WST",NA,"West Pharmaceutical Services Inc"
"MGM UN Equity","MGM",NA,"MGM Resorts International"
"DOW UN Equity","DOW",NA,"Dow Inc"
"ROK UN Equity","ROK",NA,"Rockwell Automation Inc"
"UA UN Equity","UA",NA,"Under Armour Inc"
"UAA UN Equity","UAA",NA,"Under Armour Inc"
"PHM UN Equity","PHM",NA,"PulteGroup Inc"
"CVX UN Equity","CVX","Energy","Chevron Corp"
"CXO UN Equity","CXO",NA,"Concho Resources Inc"
"TFC UN Equity","TFC",NA,"Truist Financial Corp"
"OKE UN Equity","OKE",NA,"ONEOK Inc"
"LVS UN Equity","LVS",NA,"Las Vegas Sands Corp"
"XYL UN Equity","XYL",NA,"Xylem Inc/NY"
"RTX UN Equity","RTX",NA,"Raytheon Technologies Corp"
"DTE UN Equity","DTE",NA,"DTE Energy Co"
"TIF UN Equity","TIF",NA,"Tiffany & Co"
"LYV UN Equity","LYV",NA,"Live Nation Entertainment Inc"
"DVN UN Equity","DVN",NA,"Devon Energy Corp"
"MOS UN Equity","MOS",NA,"Mosaic Co/The"
"UNP UN Equity","UNP","Industrial","Union Pacific Corp"
"HLT UN Equity","HLT",NA,"Hilton Worldwide Holdings Inc"
"URI UN Equity","URI",NA,"United Rentals Inc"
"RE UN Equity","RE",NA,"Everest Re Group Ltd"
"EVRG UN Equity","EVRG",NA,"Evergy Inc"
"DGX UN Equity","DGX",NA,"Quest Diagnostics Inc"
"ED UN Equity","ED",NA,"Consolidated Edison Inc"
"WHR UN Equity","WHR",NA,"Whirlpool Corp"
"USB UN Equity","USB","Financial","US Bancorp"
"VAR UN Equity","VAR",NA,"Varian Medical Systems Inc"
"LEG UN Equity","LEG",NA,"Leggett & Platt Inc"
"MS UN Equity","MS","Financial","Morgan Stanley"
"RHI UN Equity","RHI",NA,"Robert Half International Inc"
"BDX UN Equity","BDX",NA,"Becton Dickinson and Co"
"F UN Equity","F","Consumer, Cyclical","Ford Motor Co"
"PSA UN Equity","PSA",NA,"Public Storage"
"CMS UN Equity","CMS",NA,"CMS Energy Corp"
"VLO UN Equity","VLO",NA,"Valero Energy Corp"
"TWTR UN Equity","TWTR",NA,"Twitter Inc"
"MET UN Equity","MET","Financial","MetLife Inc"
"NUE UN Equity","NUE",NA,"Nucor Corp"
"K UN Equity","K",NA,"Kellogg Co"
"TDY UN Equity","TDY",NA,"Teledyne Technologies Inc"
"PVH UN Equity","PVH",NA,"PVH Corp"
"PG UN Equity","PG","Consumer, Non-cyclical","Procter & Gamble Co/The"
"PXD UN Equity","PXD",NA,"Pioneer Natural Resources Co"
"TYL UN Equity","TYL",NA,"Tyler Technologies Inc"
"UNM UN Equity","UNM",NA,"Unum Group"
"CMG UN Equity","CMG",NA,"Chipotle Mexican Grill Inc"
"KSS UN Equity","KSS",NA,"Kohl's Corp"
"MMC UN Equity","MMC",NA,"Marsh & McLennan Cos Inc"
"PKG UN Equity","PKG",NA,"Packaging Corp of America"
"ITW UN Equity","ITW",NA,"Illinois Tool Works Inc"
"PKI UN Equity","PKI",NA,"PerkinElmer Inc"
"PLD UN Equity","PLD",NA,"Prologis Inc"
"WAB UN Equity","WAB",NA,"Westinghouse Air Brake Technologies Corp"
"MO UN Equity","MO","Consumer, Non-cyclical","Altria Group Inc"
"UNH UN Equity","UNH","Consumer, Non-cyclical","UnitedHealth Group Inc"
"A UN Equity","A",NA,"Agilent Technologies Inc"
"TJX UN Equity","TJX",NA,"TJX Cos Inc/The"
"SYY UN Equity","SYY",NA,"Sysco Corp"
"ZTS UN Equity","ZTS",NA,"Zoetis Inc"
"NRG UN Equity","NRG",NA,"NRG Energy Inc"
"ARE UN Equity","ARE",NA,"Alexandria Real Estate Equities Inc"
"WRB UN Equity","WRB",NA,"W R Berkley Corp"
"GPN UN Equity","GPN",NA,"Global Payments Inc"
"NLSN UN Equity","NLSN",NA,"Nielsen Holdings PLC"
"OXY UN Equity","OXY","Energy","Occidental Petroleum Corp"
"VZ UN Equity","VZ","Communications","Verizon Communications Inc"
"EMN UN Equity","EMN",NA,"Eastman Chemical Co"
"DIS UN Equity","DIS","Communications","Walt Disney Co/The"
"NOV UN Equity","NOV",NA,"National Oilwell Varco Inc"
"RF UN Equity","RF",NA,"Regions Financial Corp"
"ZBH UN Equity","ZBH",NA,"Zimmer Biomet Holdings Inc"
"SCHW UN Equity","SCHW",NA,"Charles Schwab Corp/The"
"T UN Equity","T","Communications","AT&T Inc"
"APTV UN Equity","APTV",NA,"Aptiv PLC"
"KIM UN Equity","KIM",NA,"Kimco Realty Corp"
"VMC UN Equity","VMC",NA,"Vulcan Materials Co"
"AVB UN Equity","AVB",NA,"AvalonBay Communities Inc"
"HAL UN Equity","HAL","Energy","Halliburton Co"
"CFG UN Equity","CFG",NA,"Citizens Financial Group Inc"
"BAC UN Equity","BAC","Financial","Bank of America Corp"
"TXT UN Equity","TXT",NA,"Textron Inc"
"WAT UN Equity","WAT",NA,"Waters Corp"
"TEL UN Equity","TEL",NA,"TE Connectivity Ltd"
"CAG UN Equity","CAG",NA,"Conagra Brands Inc"
"XOM UN Equity","XOM","Energy","Exxon Mobil Corp"
"LUV UN Equity","LUV",NA,"Southwest Airlines Co"
"LHX UN Equity","LHX",NA,"L3Harris Technologies Inc"
"KR UN Equity","KR",NA,"Kroger Co/The"
"ICE UN Equity","ICE",NA,"Intercontinental Exchange Inc"
"COG UN Equity","COG",NA,"Cabot Oil & Gas Corp"
"CNP UN Equity","CNP",NA,"CenterPoint Energy Inc"
"XRX UN Equity","XRX",NA,"Xerox Holdings Corp"
"SJM UN Equity","SJM",NA,"J M Smucker Co/The"
"JPM UN Equity","JPM","Financial","JPMorgan Chase & Co"
"SNA UN Equity","SNA",NA,"Snap-on Inc"
"LYB UN Equity","LYB",NA,"LyondellBasell Industries NV"
"SPGI UN Equity","SPGI",NA,"S&P Global Inc"
"CF UN Equity","CF",NA,"CF Industries Holdings Inc"
"MRK UN Equity","MRK","Consumer, Non-cyclical","Merck & Co Inc"
"GPC UN Equity","GPC",NA,"Genuine Parts Co"
"TRV UN Equity","TRV","Financial","Travelers Cos Inc/The"
"GLW UN Equity","GLW",NA,"Corning Inc"
"TFX UN Equity","TFX",NA,"Teleflex Inc"
"KMI UN Equity","KMI",NA,"Kinder Morgan Inc"
"TDG UN Equity","TDG",NA,"TransDigm Group Inc"
"MMM UN Equity","MMM","Industrial","3M Co"
"O UN Equity","O",NA,"Realty Income Corp"
"RL UN Equity","RL",NA,"Ralph Lauren Corp"
"BLL UN Equity","BLL",NA,"Ball Corp"
"UHS UN Equity","UHS",NA,"Universal Health Services Inc"
"NEE UN Equity","NEE","Utilities","NextEra Energy Inc"
"SHW UN Equity","SHW",NA,"Sherwin-Williams Co/The"
"TMO UN Equity","TMO",NA,"Thermo Fisher Scientific Inc"
"MELI UW Equity","MELI","Communications","MercadoLibre Inc"
"NFLX UW Equity","NFLX","Communications","Netflix Inc"
"GILD UW Equity","GILD","Consumer, Non-cyclical","Gilead Sciences Inc"
"NBL UW Equity","NBL",NA,"Noble Energy Inc"
"ROST UW Equity","ROST","Consumer, Cyclical","Ross Stores Inc"
"VIAC UW Equity","VIAC",NA,"ViacomCBS Inc"
"AMAT UW Equity","AMAT","Technology","Applied Materials Inc"
"HOLX UW Equity","HOLX",NA,"Hologic Inc"
"FOXA UW Equity","FOXA",NA,"Fox Corp"
"BKNG UW Equity","BKNG","Communications","Booking Holdings Inc"
"AKAM UW Equity","AKAM",NA,"Akamai Technologies Inc"
"XLNX UW Equity","XLNX","Technology","Xilinx Inc"
"CPRT UW Equity","CPRT",NA,"Copart Inc"
"FB UW Equity","FB","Communications","Facebook Inc"
"PYPL UW Equity","PYPL","Consumer, Non-cyclical","PayPal Holdings Inc"
"WYNN UW Equity","WYNN","Consumer, Cyclical","Wynn Resorts Ltd"
"FFIV UW Equity","FFIV",NA,"F5 Networks Inc"
"CTSH UW Equity","CTSH","Technology","Cognizant Technology Solutions Corp"
"INCY UW Equity","INCY","Consumer, Non-cyclical","Incyte Corp"
"ALGN UW Equity","ALGN","Consumer, Non-cyclical","Align Technology Inc"
"SGEN UW Equity","SGEN",NA,"Seattle Genetics Inc"
"NWS UW Equity","NWS",NA,"News Corp"
"DISH UW Equity","DISH",NA,"DISH Network Corp"
"TMUS UW Equity","TMUS","Communications","T-Mobile US Inc"
"ZM UW Equity","ZM",NA,"Zoom Video Communications Inc"
"JBHT UW Equity","JBHT","Industrial","JB Hunt Transport Services Inc"
"ISRG UW Equity","ISRG","Consumer, Non-cyclical","Intuitive Surgical Inc"
"GOOG UW Equity","GOOG","Communications","Alphabet Inc"
"JD UW Equity","JD","Communications","JD.com Inc"
"REGN UW Equity","REGN","Consumer, Non-cyclical","Regeneron Pharmaceuticals Inc"
"LNT UW Equity","LNT",NA,"Alliant Energy Corp"
"ASML UW Equity","ASML","Technology","ASML Holding NV"
"BIIB UW Equity","BIIB","Consumer, Non-cyclical","Biogen Inc"
"CTXS UW Equity","CTXS","Technology","Citrix Systems Inc"
"DISCA UW Equity","DISCA",NA,"Discovery Inc"
"PCAR UW Equity","PCAR","Consumer, Cyclical","PACCAR Inc"
"CHTR UW Equity","CHTR","Communications","Charter Communications Inc"
"PBCT UW Equity","PBCT",NA,"People's United Financial Inc"
"DLTR UW Equity","DLTR","Consumer, Cyclical","Dollar Tree Inc"
"ALXN UW Equity","ALXN","Consumer, Non-cyclical","Alexion Pharmaceuticals Inc"
"EBAY UW Equity","EBAY","Communications","eBay Inc"
"PEP UW Equity","PEP","Consumer, Non-cyclical","PepsiCo Inc"
"CSX UW Equity","CSX","Industrial","CSX Corp"
"EXPE UW Equity","EXPE","Communications","Expedia Group Inc"
"AMGN UW Equity","AMGN","Consumer, Non-cyclical","Amgen Inc"
"LBTYK UW Equity","LBTYK","Communications","Liberty Global PLC"
"JKHY UW Equity","JKHY",NA,"Jack Henry & Associates Inc"
"NVDA UW Equity","NVDA","Technology","NVIDIA Corp"
"MYL UW Equity","MYL","Consumer, Non-cyclical","Mylan NV"
"CME UW Equity","CME",NA,"CME Group Inc"
"NXPI UW Equity","NXPI","Technology","NXP Semiconductors NV"
"CMCSA UW Equity","CMCSA","Communications","Comcast Corp"
"AMZN UW Equity","AMZN","Communications","Amazon.com Inc"
"INTC UW Equity","INTC","Technology","Intel Corp"
"KHC UW Equity","KHC","Consumer, Non-cyclical","Kraft Heinz Co/The"
"EQIX UW Equity","EQIX",NA,"Equinix Inc"
"KLAC UW Equity","KLAC",NA,"KLA Corp"
"DOCU UW Equity","DOCU",NA,"DocuSign Inc"
"HBAN UW Equity","HBAN",NA,"Huntington Bancshares Inc/OH"
"MXIM UW Equity","MXIM","Technology","Maxim Integrated Products Inc"
"ULTA UW Equity","ULTA","Consumer, Cyclical","Ulta Beauty Inc"
"ZBRA UW Equity","ZBRA",NA,"Zebra Technologies Corp"
"FOX UW Equity","FOX",NA,"Fox Corp"
"WDAY UW Equity","WDAY","Technology","Workday Inc"
"ORLY UW Equity","ORLY","Consumer, Cyclical","O'Reilly Automotive Inc"
"WDC UW Equity","WDC","Technology","Western Digital Corp"
"VRTX UW Equity","VRTX","Consumer, Non-cyclical","Vertex Pharmaceuticals Inc"
"ETFC UW Equity","ETFC",NA,"E*TRADE Financial Corp"
"TTWO UW Equity","TTWO","Technology","Take-Two Interactive Software Inc"
"COST UW Equity","COST","Consumer, Cyclical","Costco Wholesale Corp"
"MAR UW Equity","MAR","Consumer, Cyclical","Marriott International Inc/MD"
"EXPD UW Equity","EXPD",NA,"Expeditors International of Washington I"
"BMRN UW Equity","BMRN","Consumer, Non-cyclical","BioMarin Pharmaceutical Inc"
"SBAC UW Equity","SBAC",NA,"SBA Communications Corp"
"SNPS UW Equity","SNPS","Technology","Synopsys Inc"
"SBUX UW Equity","SBUX","Consumer, Cyclical","Starbucks Corp"
"PAYX UW Equity","PAYX","Technology","Paychex Inc"
"CHRW UW Equity","CHRW",NA,"CH Robinson Worldwide Inc"
"MSFT UW Equity","MSFT","Technology","Microsoft Corp"
"TSLA UW Equity","TSLA","Consumer, Cyclical","Tesla Inc"
"FAST UW Equity","FAST","Consumer, Cyclical","Fastenal Co"
"XEL UW Equity","XEL","Utilities","Xcel Energy Inc"
"INTU UW Equity","INTU","Technology","Intuit Inc"
"ADBE UW Equity","ADBE","Technology","Adobe Inc"
"AMD UW Equity","AMD","Technology","Advanced Micro Devices Inc"
"TROW UW Equity","TROW",NA,"T Rowe Price Group Inc"
"ADP UW Equity","ADP","Consumer, Non-cyclical","Automatic Data Processing Inc"
"TXN UW Equity","TXN","Technology","Texas Instruments Inc"
"PFG UW Equity","PFG",NA,"Principal Financial Group Inc"
"ADSK UW Equity","ADSK","Technology","Autodesk Inc"
"VRSK UW Equity","VRSK","Consumer, Non-cyclical","Verisk Analytics Inc"
"LRCX UW Equity","LRCX","Technology","Lam Research Corp"
"NWSA UW Equity","NWSA",NA,"News Corp"
"UAL UW Equity","UAL",NA,"United Airlines Holdings Inc"
"CDW UW Equity","CDW",NA,"CDW Corp/DE"
"VRSN UW Equity","VRSN","Communications","VeriSign Inc"
"QRVO UW Equity","QRVO",NA,"Qorvo Inc"
"NDAQ UW Equity","NDAQ",NA,"Nasdaq Inc"
"CTAS UW Equity","CTAS","Consumer, Non-cyclical","Cintas Corp"
"FITB UW Equity","FITB",NA,"Fifth Third Bancorp"
"FISV UW Equity","FISV","Technology","Fiserv Inc"
"MU UW Equity","MU","Technology","Micron Technology Inc"
"APA UW Equity","APA",NA,"Apache Corp"
"STX UW Equity","STX",NA,"Seagate Technology PLC"
"NWL UW Equity","NWL",NA,"Newell Brands Inc"
"ZION UW Equity","ZION",NA,"Zions Bancorp NA"
"TSCO UW Equity","TSCO",NA,"Tractor Supply Co"
"HSIC UW Equity","HSIC","Consumer, Non-cyclical","Henry Schein Inc"
"NTAP UW Equity","NTAP","Technology","NetApp Inc"
"CERN UW Equity","CERN","Technology","Cerner Corp"
"REG UW Equity","REG",NA,"Regency Centers Corp"
"ABMD UW Equity","ABMD",NA,"ABIOMED Inc"
"MRNA UW Equity","MRNA",NA,"Moderna Inc"
"LBTYA UW Equity","LBTYA","Communications","Liberty Global PLC"
"HAS UW Equity","HAS","Consumer, Cyclical","Hasbro Inc"
"CHKP UW Equity","CHKP","Technology","Check Point Software Technologies Ltd"
"GRMN UW Equity","GRMN",NA,"Garmin Ltd"
"MNST UW Equity","MNST","Consumer, Non-cyclical","Monster Beverage Corp"
"DISCK UW Equity","DISCK",NA,"Discovery Inc"
"CDNS UW Equity","CDNS","Technology","Cadence Design Systems Inc"
"ADI UW Equity","ADI","Technology","Analog Devices Inc"
"MKTX UW Equity","MKTX",NA,"MarketAxess Holdings Inc"
"ATVI UW Equity","ATVI","Technology","Activision Blizzard Inc"
"CINF UW Equity","CINF",NA,"Cincinnati Financial Corp"
"BIDU UW Equity","BIDU","Communications","Baidu Inc"
"TCOM UW Equity","TCOM",NA,"Trip.com Group Ltd"
"IPGP UW Equity","IPGP",NA,"IPG Photonics Corp"
"FLIR UW Equity","FLIR",NA,"FLIR Systems Inc"
"WLTW UW Equity","WLTW","Financial","Willis Towers Watson PLC"
"WBA UW Equity","WBA","Consumer, Cyclical","Walgreens Boots Alliance Inc"
"MCHP UW Equity","MCHP","Technology","Microchip Technology Inc"
"MDLZ UW Equity","MDLZ","Consumer, Non-cyclical","Mondelez International Inc"
"ODFL UW Equity","ODFL",NA,"Old Dominion Freight Line Inc"
"XRAY UW Equity","XRAY",NA,"DENTSPLY SIRONA Inc"
"AAL UW Equity","AAL","Consumer, Cyclical","American Airlines Group Inc"
"SIVB UW Equity","SIVB",NA,"SVB Financial Group"
"ILMN UW Equity","ILMN","Consumer, Non-cyclical","Illumina Inc"
"NTRS UW Equity","NTRS",NA,"Northern Trust Corp"
"SIRI UW Equity","SIRI","Communications","Sirius XM Holdings Inc"
"IDXX UW Equity","IDXX","Consumer, Non-cyclical","IDEXX Laboratories Inc"
"QCOM UW Equity","QCOM","Technology","QUALCOMM Inc"
"DXCM UW Equity","DXCM",NA,"DexCom Inc"
"AVGO UW Equity","AVGO","Technology","Broadcom Inc"
"NLOK UW Equity","NLOK",NA,"NortonLifeLock Inc"
"EXC UW Equity","EXC",NA,"Exelon Corp"
"ANSS UW Equity","ANSS",NA,"ANSYS Inc"
"GOOGL UW Equity","GOOGL","Communications","Alphabet Inc"
"NTES UW Equity","NTES","Technology","NetEase Inc"
"SPLK UW Equity","SPLK",NA,"Splunk Inc"
"LULU UW Equity","LULU","Consumer, Cyclical","Lululemon Athletica Inc"
"FTNT UW Equity","FTNT",NA,"Fortinet Inc"
"FANG UW Equity","FANG",NA,"Diamondback Energy Inc"
"CSCO UW Equity","CSCO","Communications","Cisco Systems Inc"
"SWKS UW Equity","SWKS","Technology","Skyworks Solutions Inc"
"LKQ UW Equity","LKQ",NA,"LKQ Corp"
"EA UW Equity","EA","Technology","Electronic Arts Inc"
"AAPL UW Equity","AAPL","Technology","Apple Inc"
